userid,start,end,slp.quality,time.in.bed,day,go.to.bed,wake.up,night.sleep,WeekDay
6,2018-04-02T13:35:00Z,2018-04-02T20:53:00Z,0.87,437,2018-04-03,23,6,TRUE,Tuesday
6,2018-04-03T14:42:00Z,2018-04-03T21:10:00Z,0.79,388,2018-04-04,0,7,TRUE,Wednesday
6,2018-04-04T13:34:00Z,2018-04-04T20:51:00Z,0.78,437,2018-04-05,23,6,TRUE,Thursday
6,2018-04-05T15:06:00Z,2018-04-05T20:49:00Z,0.63,342,2018-04-06,1,6,TRUE,Friday
6,2018-04-06T14:00:00Z,2018-04-06T20:49:00Z,0.77,408,2018-04-07,0,6,TRUE,Saturday
6,2018-04-07T14:02:00Z,2018-04-07T21:29:00Z,0.75,447,2018-04-08,0,7,TRUE,Sunday
6,2018-04-08T13:51:00Z,2018-04-08T21:20:00Z,0.74,448,2018-04-09,23,7,TRUE,Monday
6,2018-04-09T13:41:00Z,2018-04-09T21:10:00Z,0.84,448,2018-04-10,23,7,TRUE,Tuesday
6,2018-04-10T14:35:00Z,2018-04-10T21:27:00Z,0.8,412,2018-04-11,0,7,TRUE,Wednesday
6,2018-04-11T15:40:00Z,2018-04-11T21:29:00Z,0,0,2018-04-12,1,7,TRUE,Thursday
6,2018-04-12T13:04:00Z,2018-04-12T21:21:00Z,0.85,497,2018-04-13,23,7,TRUE,Friday
6,2018-04-13T15:20:00Z,2018-04-13T21:30:00Z,0.6,369,2018-04-14,1,7,TRUE,Saturday
6,2018-04-14T16:06:00Z,2018-04-14T21:27:00Z,0.59,321,2018-04-15,2,7,TRUE,Sunday
6,2018-04-15T13:51:00Z,2018-04-15T21:29:00Z,0.55,458,2018-04-16,23,7,TRUE,Monday
6,2018-04-16T13:49:00Z,2018-04-16T21:29:00Z,0.79,459,2018-04-17,23,7,TRUE,Tuesday
6,2018-04-17T13:41:00Z,2018-04-17T21:27:00Z,0.84,465,2018-04-18,23,7,TRUE,Wednesday
6,2018-04-18T15:52:00Z,2018-04-18T21:26:00Z,0.61,334,2018-04-19,1,7,TRUE,Thursday
6,2018-04-19T18:14:00Z,2018-04-19T21:27:00Z,0.35,193,2018-04-20,4,7,TRUE,Friday
6,2018-04-20T13:55:00Z,2018-04-20T21:28:00Z,0.74,452,2018-04-21,23,7,TRUE,Saturday
6,2018-04-21T15:03:00Z,2018-04-21T21:13:00Z,0.72,370,2018-04-22,1,7,TRUE,Sunday
6,2018-04-22T14:40:00Z,2018-04-22T21:12:00Z,0.82,391,2018-04-23,0,7,TRUE,Monday
6,2018-04-23T14:23:00Z,2018-04-23T21:28:00Z,0.73,424,2018-04-24,0,7,TRUE,Tuesday
6,2018-04-24T14:05:00Z,2018-04-24T21:46:00Z,0.7,461,2018-04-25,0,7,TRUE,Wednesday
6,2018-04-25T16:00:00Z,2018-04-25T21:56:00Z,0.62,356,2018-04-26,2,7,TRUE,Thursday
6,2018-04-26T14:05:00Z,2018-04-26T21:57:00Z,0.72,472,2018-04-27,0,7,TRUE,Friday
6,2018-04-27T14:37:00Z,2018-04-27T21:54:00Z,0.81,436,2018-04-28,0,7,TRUE,Saturday
6,2018-04-28T14:17:00Z,2018-04-28T21:24:00Z,0.71,426,2018-04-29,0,7,TRUE,Sunday
6,2018-04-29T14:57:00Z,2018-04-29T21:30:00Z,0.71,393,2018-04-30,0,7,TRUE,Monday
